url_path,views_total,views_unique
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/v2.0.1,7,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors,6,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/pulls,5,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/issues,3,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/branches,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tags,2,2
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/blob/github-repo-stats/norwegian-geotechnical-institute/global-tsunami-amplification-factors/ghrs-data/views_clones_aggregate.csv,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/tree/github-repo-stats,2,1
/norwegian-geotechnical-institute/global-tsunami-amplification-factors/actions/metrics/usage,1,1
